"BF_ID";"SCHICHT_NR";"HOR_NR";"OTIEF";"UTIEF";"SW_HORIZ";"HORIZ";"BOART";"GROBBOD_F";"GROBBOD_K";"HUMUS";"KALK";"KOHLE";"SUBSTRART";"PH";"LD";"GEFUEGE";"SV";"STRAT";"STRAT_JUENGST_PRAEG";"STRAT_URSP";"GEOGEN";"HERK";"LAGE"
8383;2;3;6,00;10,00;"II";"elCv";"Tu2";;1;"h0";"c5";;"c-ltc(^mk)";;"Ld4";;;"mo";"mo";;"c";"^mk";
8383;3;4;10,00;20,00;"III";"mCn";;;;;;;"n-^mk";;;;;"mo";"mo";;"n";"^mk";
8384;1;1;0,00;2,50;;"eAp";"Tu3";"X";3;"h2";"c3.4";;"p-(n)cut(^mk)";;"Ld3";;;"qp";"qp";;"p";"^mk";"LB"
8384;1;2;2,50;5,00;;"elCv";"Tu2";"X";3;"h0";"c4";;"p-(n)clt(^mk)";;"Ld4";;;"qp";"qp";;"p";"^mk";"LB"
8384;2;3;5,00;10,00;"II";"elCv";"Tu2";;1;"h0";"c4";;"c-clt(^mk)";;"Ld4";;;"mo";"mo";;"c";"^mk";
8384;3;4;10,00;20,00;"III";"mCn";;;;;;;"n-^mk";;;;;"mo";"mo";;"n";"^mk";
8385;1;1;0,00;2,50;;"eAh";"Lt3";"X";3;"h2";"c3.2";;"p-(n)cut(^mk)";;"Ld3";;;"qp";"qp";;"p";"^mk";"LB"
8385;1;2;2,50;6,00;;"eP";"Tl";"X";3;"h0";"c4";;"p-(n)clt(^mk)";;"Ld4";;;"qp";"qp";;"p";"^mk";"LB"
8385;2;3;6,00;10,00;"II";"elCv";"Tl";;1;"h0";"c4";;"c-clt(^mk)";;"Ld4";;;"mo";"mo";;"c";"^mk";
8385;3;4;10,00;20,00;"III";"mCn";;;;;;;"n-^mk";;;;;"mo";"mo";;"n";"^mk";
8386;1;1;0,00;0,50;;"Ah";"Su2";"X";4;"h4";"c0";;"pfl-nls(^s)";;"Ld2";;;"qp";"qp";;"pfl";"^s";"LO"
8386;1;2;0,50;2,00;;"Ae";"Su2";"X";4;"h1";"c0";;"pfl-nls(^s)";;"Ld2";;;"qp";"qp";;"pfl";"^s";"LO"
