"GEN_ID";"BF_ID";"BOF_NR";"STATUS";"BODTYP";"BO_SUBTYP";"BO_SUBTYP_TXT";"BODSYSTEINH";"BODSYSTEINH_TXT";"SUBSTRSUBTYP";"KULTUR";"HUFORM";"GWS";"VNGRAD";"MHGW";"MGW";"MNGW";"FLANT_SPANNE";"FLANT_MITTELW"
1333;4676;1;"Leitprofil";"GG";"OL-GG";"Lockersyrosem-Gley";"OL-GG";"Lockersyrosem-Gley";"m-s(Sst)";"G";;"GWS1";;"< 0";"< 2";"< 4";">= 90";99
1336;4677;1;"Leitprofil";"GG";"GGn";"Normgley";"GGn";"Normgley";"m-s(Sst)";"G";;"GWS2";;"< 2";"2 bis < 4";"4 bis < 8";"50 bis < 70";60
1336;4678;2;"Begleitprofil";"PP";"PPn";"Normpodsol";"PPn";"Normpodsol";"a-s(Sa)/m-s(Sst)";"F";"MOR";;;;;;"10 bis < 30";20
1336;4679;3;"Begleitprofil";"OL";"OLn";"Normlockersyrosem";"OLn";"Normlockersyrosem";"m-s(Sst)";"F";"MOR";;;;;;"10 bis < 30";20
1335;4680;1;"Leitprofil";"GG";"BB-GG";"Braunerde-Gley";"BB-GG";"Braunerde-Gley";"p-(k)s(Sp)/fg-(k)s(Sgf)//gm-(k)l(Lg)";"G";;"GWS3";;"< 4";"4 bis < 8";"8 bis < 13";"30 bis < 50";40
1335;4681;2;"Begleitprofil";"GG";"BB-GG";"Braunerde-Gley";"BB-GG";"Braunerde-Gley";"fg-(k)s(Sgf)//gm-(k)l(Lg)";"G";;"GWS3";;"< 4";"4 bis < 8";"8 bis < 13";"10 bis < 30";20
1335;4682;3;"Begleitprofil";"SS";"SSn";"Normpseudogley";"SSn";"Normpseudogley";"p-(k)l(Lp)/gm-(k)l(Lg)//gm-(k)el(Mg)";"G";;;"Vn3";;;;"< 10";5
1335;4683;4;"Begleitprofil";"SS";"SSn";"Normpseudogley";"SSn";"Normpseudogley";"gm-(k)l(Lg)//gm-(k)el(Mg)";"G";;;"Vn3";;;;"< 10";5
1335;4684;5;"Begleitprofil";"SS";"BB-SS";"Braunerde-Pseudogley";"BB-SS";"Braunerde-Pseudogley";"p-(k)s(Sp)/gm-(k)l(Lg)//gm-(k)el(Mg)";"G";;;"Vn2";;;;"10 bis < 30";20
1335;4685;6;"Begleitprofil";"SS";"BB-SS";"Braunerde-Pseudogley";"BB-SS";"Braunerde-Pseudogley";"fg-(k)s(Sgf)/gm-(k)l(Lg)//gm-(k)el(Mg)";"G";;;"Vn2";;;;"< 10";5
1337;4686;1;"Leitprofil";"GG";"GGn";"Normgley";"GGn";"Normgley";"m-s(Sst)";"G";;"GWS2";;"< 2";"2 bis < 4";"4 bis < 8";"50 bis < 70";60
1337;4687;2;"Begleitprofil";"GH";"GHn";"Niedermoorgley";"GHn";"Niedermoorgley";"og-Hn\m-s(Sst)";"G";;"GWS2";;"< 2";"2 bis < 4";"4 bis < 8";"10 bis < 30";20
1337;4688;3;"Begleitprofil";"GM";"GMn";"Normanmoorgley";"GMn";"Normanmoorgley";"m-s(Sst)";"G";;"GWS2";;"< 2";"2 bis < 4";"4 bis < 8";"10 bis < 30";20
